Chr	Genes with SIFT Scores	Pos with SIFT scores
I	81 (96/119)	91 (305298/334085)
II	85 (392/460)	93 (1282004/1373040)
III	87 (161/185)	94 (473950/501599)
IV	87 (738/853)	93 (2397976/2578263)
IX	88 (213/241)	94 (671984/713279)
Mito	71 (20/28)	64 (36659/57608)
V	86 (281/328)	92 (839734/908304)
VI	87 (125/143)	94 (397839/422820)
VII	87 (513/593)	94 (1682286/1787590)
VIII	86 (280/325)	90 (834750/923956)
X	85 (341/402)	92 (1156386/1258349)
XI	89 (309/348)	93 (1009995/1089868)
XII	85 (500/586)	93 (1661414/1792089)
XIII	87 (447/512)	93 (1463065/1573505)
XIV	88 (385/438)	95 (1240179/1310088)
XV	85 (512/605)	92 (1642941/1787197)
XVI	88 (455/518)	93 (1459591/1565063)
